epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2229.31,0.36155,0.29647,0.83599,0.96876,0.99062,0.99391,0.89701,0.4295,0.27426,0.80984,0.00079705,0.00079705,0.00079705
43,2281.66,0.35021,0.28506,0.82858,0.95725,0.98473,0.99294,0.89497,0.43974,0.2958,0.82483,0.0007921,0.0007921,0.0007921
44,2336.74,0.3466,0.28972,0.83374,0.96371,0.96929,0.99306,0.89723,0.43358,0.28772,0.82204,0.00078715,0.00078715,0.00078715
45,2390.55,0.34384,0.28351,0.83263,0.97387,0.96284,0.99391,0.90148,0.42307,0.27847,0.81715,0.0007822,0.0007822,0.0007822
46,2442.04,0.3566,0.28766,0.83877,0.96517,0.97279,0.99391,0.90033,0.44197,0.28191,0.8199,0.00077725,0.00077725,0.00077725
47,2494.27,0.34348,0.27776,0.83345,0.96231,0.98014,0.995,0.89196,0.43609,0.27458,0.81638,0.0007723,0.0007723,0.0007723
48,2546.33,0.34635,0.28306,0.83102,0.96201,0.9868,0.995,0.90485,0.43138,0.27185,0.81864,0.00076735,0.00076735,0.00076735
49,2598.44,0.34782,0.28498,0.83044,0.98342,0.97769,0.9925,0.89481,0.43544,0.271,0.82196,0.0007624,0.0007624,0.0007624
50,2650.5,0.33196,0.27706,0.82998,0.9682,0.98245,0.99248,0.90114,0.43822,0.28178,0.82162,0.00075745,0.00075745,0.00075745
51,2702.59,0.35336,0.2844,0.83922,0.97746,0.97095,0.99357,0.90527,0.42434,0.27327,0.819,0.0007525,0.0007525,0.0007525
52,2754.68,0.33303,0.26597,0.82962,0.97117,0.96498,0.99431,0.89403,0.43565,0.27907,0.82269,0.00074755,0.00074755,0.00074755
53,2806.75,0.34084,0.27128,0.83451,0.94814,0.98286,0.99322,0.90625,0.40606,0.26939,0.82097,0.0007426,0.0007426,0.0007426
54,2858.88,0.3245,0.26234,0.82629,0.95553,0.98671,0.99069,0.89704,0.43536,0.28201,0.82642,0.00073765,0.00073765,0.00073765
55,2910.92,0.34026,0.27472,0.82827,0.97173,0.97529,0.99156,0.88766,0.43771,0.28973,0.83167,0.0007327,0.0007327,0.0007327
56,2962.99,0.33022,0.2685,0.82445,0.95856,0.99217,0.99225,0.89336,0.43603,0.28217,0.82528,0.00072775,0.00072775,0.00072775
57,3015.06,0.32946,0.26887,0.82695,0.95534,0.99262,0.99225,0.90205,0.42591,0.27247,0.81444,0.0007228,0.0007228,0.0007228
58,3067.14,0.33406,0.26715,0.8263,0.97418,0.97423,0.995,0.90583,0.41397,0.26001,0.81502,0.00071785,0.00071785,0.00071785
59,3119.19,0.32954,0.26278,0.82706,0.965,0.97726,0.995,0.90285,0.41952,0.25876,0.82075,0.0007129,0.0007129,0.0007129
60,3171.23,0.32167,0.26091,0.82826,0.96906,0.97539,0.995,0.904,0.41633,0.26572,0.81851,0.00070795,0.00070795,0.00070795
61,3223.31,0.32846,0.25705,0.83193,0.95151,0.99477,0.99391,0.90575,0.41427,0.268,0.82279,0.000703,0.000703,0.000703
62,3275.33,0.32843,0.25739,0.83081,0.95137,0.97482,0.99253,0.90114,0.43281,0.27266,0.81818,0.00069805,0.00069805,0.00069805
63,3327.37,0.32388,0.26317,0.82774,0.95561,0.9678,0.99431,0.90455,0.42005,0.27372,0.82233,0.0006931,0.0006931,0.0006931
64,3379.41,0.32664,0.2643,0.8337,0.95068,0.99434,0.995,0.89634,0.42819,0.27298,0.81266,0.00068815,0.00068815,0.00068815
65,3431.49,0.31286,0.25711,0.82535,0.95332,0.97784,0.995,0.90868,0.42314,0.26595,0.80593,0.0006832,0.0006832,0.0006832
66,3483.59,0.31843,0.24962,0.82649,0.94841,0.99141,0.99391,0.90819,0.4174,0.26404,0.80226,0.00067825,0.00067825,0.00067825
67,3535.63,0.31162,0.25078,0.82704,0.95481,0.97938,0.99431,0.90621,0.42047,0.28058,0.8035,0.0006733,0.0006733,0.0006733
