epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1267.27,0.83309,0.79833,0.94495,0.92209,0.88118,0.92239,0.69471,0.89171,0.75603,0.88781,0.0005941,0.0005941,0.0005941
43,1297.23,0.83376,0.78963,0.95211,0.92866,0.90331,0.93742,0.71125,0.91738,0.71857,0.89653,0.0005842,0.0005842,0.0005842
44,1327.28,0.82385,0.78427,0.94656,0.9335,0.84787,0.93208,0.70631,0.92558,0.72065,0.90551,0.0005743,0.0005743,0.0005743
45,1357.17,0.83072,0.77919,0.94795,0.93842,0.87267,0.9313,0.72133,0.83981,0.64914,0.88066,0.0005644,0.0005644,0.0005644
46,1387.17,0.81398,0.77065,0.94106,0.94481,0.85626,0.92524,0.69962,0.90605,0.73365,0.89706,0.0005545,0.0005545,0.0005545
47,1417.23,0.82262,0.77093,0.9476,0.93613,0.88405,0.93723,0.72472,0.87306,0.68853,0.88218,0.0005446,0.0005446,0.0005446
48,1447.25,0.80884,0.7531,0.93314,0.9255,0.88381,0.93565,0.72909,0.84889,0.70665,0.88635,0.0005347,0.0005347,0.0005347
49,1477.18,0.80185,0.76861,0.94309,0.92093,0.89021,0.9357,0.72872,0.85124,0.69555,0.88381,0.0005248,0.0005248,0.0005248
50,1507.21,0.80955,0.7542,0.94132,0.88151,0.87732,0.9335,0.74483,0.80779,0.68455,0.88098,0.0005149,0.0005149,0.0005149
51,1537.32,0.80238,0.75386,0.94673,0.95461,0.84997,0.93206,0.70419,0.89883,0.68846,0.8881,0.000505,0.000505,0.000505
52,1567.45,0.80191,0.74971,0.9413,0.9551,0.88373,0.93886,0.7473,0.78149,0.67436,0.86461,0.0004951,0.0004951,0.0004951
53,1597.64,0.79659,0.73291,0.93994,0.92089,0.88256,0.93224,0.72828,0.89499,0.73204,0.88002,0.0004852,0.0004852,0.0004852
54,1627.91,0.80905,0.74362,0.93932,0.93077,0.87195,0.93132,0.74512,0.80733,0.69009,0.87042,0.0004753,0.0004753,0.0004753
55,1657.89,0.79023,0.73277,0.93587,0.90153,0.88101,0.92877,0.73424,0.81588,0.68053,0.87069,0.0004654,0.0004654,0.0004654
56,1687.87,0.77455,0.72071,0.93249,0.87851,0.8914,0.92746,0.7066,0.91553,0.76751,0.88473,0.0004555,0.0004555,0.0004555
57,1717.86,0.79079,0.72777,0.9379,0.88059,0.89949,0.92563,0.7538,0.73266,0.67738,0.85898,0.0004456,0.0004456,0.0004456
58,1747.83,0.78885,0.72227,0.93275,0.85105,0.8993,0.93355,0.74424,0.79717,0.67782,0.86411,0.0004357,0.0004357,0.0004357
59,1777.85,0.79048,0.73232,0.93688,0.88167,0.86307,0.91646,0.72347,0.79816,0.67093,0.86317,0.0004258,0.0004258,0.0004258
60,1807.82,0.78094,0.72563,0.93615,0.9161,0.84566,0.92673,0.7247,0.84347,0.68018,0.87346,0.0004159,0.0004159,0.0004159
61,1837.96,0.7732,0.72263,0.93165,0.9289,0.85917,0.93523,0.75808,0.75925,0.67048,0.86006,0.000406,0.000406,0.000406
62,1867.97,0.78134,0.69998,0.92852,0.93139,0.90391,0.94277,0.77,0.71667,0.63704,0.84819,0.0003961,0.0003961,0.0003961
63,1898,0.76543,0.69281,0.92917,0.92369,0.85476,0.93288,0.75894,0.75219,0.6185,0.8564,0.0003862,0.0003862,0.0003862
64,1928.04,0.7667,0.70511,0.92967,0.91261,0.90111,0.93887,0.7611,0.74257,0.6302,0.85889,0.0003763,0.0003763,0.0003763
65,1958,0.77109,0.69258,0.93228,0.93168,0.8885,0.93907,0.75625,0.75935,0.61334,0.86706,0.0003664,0.0003664,0.0003664
66,1988.01,0.76631,0.68537,0.92853,0.93157,0.89556,0.93756,0.75427,0.78117,0.60764,0.8716,0.0003565,0.0003565,0.0003565
67,2017.98,0.78562,0.7115,0.93671,0.93798,0.8937,0.93341,0.73151,0.86895,0.65253,0.88858,0.0003466,0.0003466,0.0003466
68,2048.1,0.76015,0.69145,0.92601,0.86756,0.8957,0.93456,0.7487,0.77248,0.64156,0.86917,0.0003367,0.0003367,0.0003367
69,2078.07,0.77024,0.68195,0.9335,0.92569,0.89308,0.93613,0.76648,0.73607,0.61672,0.85895,0.0003268,0.0003268,0.0003268
70,2108.09,0.75589,0.67257,0.92187,0.88487,0.87727,0.93328,0.76386,0.74378,0.61043,0.85799,0.0003169,0.0003169,0.0003169
71,2138.07,0.75916,0.67728,0.92737,0.89585,0.87475,0.92947,0.72942,0.8388,0.6353,0.88135,0.000307,0.000307,0.000307
72,2168.08,0.76018,0.6779,0.9195,0.91031,0.88016,0.93056,0.76917,0.69419,0.64456,0.84563,0.0002971,0.0002971,0.0002971
73,2198.24,0.75753,0.66753,0.92744,0.89595,0.90333,0.9341,0.7539,0.79944,0.633,0.86587,0.0002872,0.0002872,0.0002872
74,2228.36,0.76754,0.68427,0.92701,0.87763,0.8955,0.93628,0.74797,0.7929,0.60929,0.86301,0.0002773,0.0002773,0.0002773
75,2258.6,0.75026,0.65776,0.92021,0.89138,0.87853,0.93555,0.7667,0.72165,0.60946,0.85454,0.0002674,0.0002674,0.0002674
76,2288.78,0.75108,0.6663,0.92119,0.88965,0.88017,0.93615,0.73026,0.83076,0.61967,0.87264,0.0002575,0.0002575,0.0002575
77,2318.93,0.7518,0.66966,0.9276,0.93126,0.88032,0.93652,0.75453,0.7937,0.614,0.86909,0.0002476,0.0002476,0.0002476
78,2349.09,0.7388,0.64881,0.9176,0.86636,0.9025,0.92837,0.74067,0.79303,0.63174,0.87095,0.0002377,0.0002377,0.0002377
79,2379.23,0.75045,0.66573,0.91914,0.92235,0.88574,0.93952,0.75611,0.76779,0.62012,0.86526,0.0002278,0.0002278,0.0002278
80,2409.45,0.74529,0.65329,0.92159,0.94243,0.89849,0.93789,0.77717,0.71547,0.58975,0.8518,0.0002179,0.0002179,0.0002179
81,2439.71,0.74281,0.65706,0.91738,0.9666,0.895,0.94035,0.75185,0.79244,0.59456,0.86385,0.000208,0.000208,0.000208
