epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4466.22,0.6168,0.3765,0.88853,0.84003,0.8952,0.90733,0.79575,0.57389,0.50511,0.83942,0.0008647,0.0008647,0.0008647
43,4571.49,0.61377,0.37476,0.888,0.87527,0.85528,0.88979,0.78355,0.56385,0.5447,0.84034,0.0008614,0.0008614,0.0008614
44,4675.55,0.60688,0.37116,0.88416,0.85822,0.87943,0.91573,0.78208,0.64895,0.55508,0.84128,0.0008581,0.0008581,0.0008581
45,4781.77,0.61181,0.37043,0.88572,0.86005,0.89874,0.89207,0.76372,0.63739,0.5056,0.8453,0.0008548,0.0008548,0.0008548
46,4886.99,0.60239,0.36535,0.89186,0.84955,0.8721,0.90001,0.78616,0.57264,0.51945,0.83873,0.0008515,0.0008515,0.0008515
47,4990.23,0.59821,0.3577,0.8865,0.81714,0.8862,0.8944,0.76759,0.61516,0.53822,0.84202,0.0008482,0.0008482,0.0008482
48,5092.02,0.60055,0.3649,0.88553,0.8453,0.85526,0.88868,0.7862,0.5727,0.58662,0.83881,0.0008449,0.0008449,0.0008449
49,5193.7,0.60032,0.35782,0.88582,0.86764,0.85781,0.90834,0.79906,0.54869,0.55335,0.83385,0.0008416,0.0008416,0.0008416
50,5295.41,0.58688,0.35126,0.88056,0.86122,0.86166,0.88912,0.79242,0.53972,0.53212,0.83198,0.0008383,0.0008383,0.0008383
51,5404.78,0.60052,0.35355,0.88894,0.89069,0.87355,0.90052,0.79774,0.56565,0.5278,0.83427,0.000835,0.000835,0.000835
52,5507.45,0.59109,0.35724,0.88427,0.82934,0.90353,0.90476,0.8211,0.52662,0.48919,0.82985,0.0008317,0.0008317,0.0008317
53,5609.18,0.58065,0.35566,0.881,0.88109,0.87264,0.88942,0.77716,0.59901,0.51311,0.84384,0.0008284,0.0008284,0.0008284
54,5710.88,0.57763,0.35385,0.88371,0.84985,0.81636,0.89572,0.8031,0.53636,0.59314,0.84147,0.0008251,0.0008251,0.0008251
55,5813.33,0.57881,0.35095,0.88401,0.83889,0.84496,0.87648,0.75322,0.63482,0.65054,0.85841,0.0008218,0.0008218,0.0008218
56,5914.43,0.57843,0.35118,0.88718,0.84659,0.8664,0.88796,0.78303,0.56118,0.54328,0.83471,0.0008185,0.0008185,0.0008185
57,6018.95,0.56634,0.33906,0.88057,0.82345,0.84369,0.88421,0.79123,0.5199,0.65442,0.8257,0.0008152,0.0008152,0.0008152
58,6120.52,0.56739,0.33806,0.87313,0.85647,0.82782,0.89621,0.79911,0.56007,0.63509,0.82779,0.0008119,0.0008119,0.0008119
59,6221.63,0.56389,0.33691,0.87897,0.84605,0.84264,0.90006,0.79983,0.53636,0.60096,0.82107,0.0008086,0.0008086,0.0008086
60,6322.69,0.56418,0.33627,0.87611,0.85717,0.84015,0.88779,0.79803,0.52222,0.58797,0.83194,0.0008053,0.0008053,0.0008053
61,6423.77,0.56222,0.33679,0.87414,0.84343,0.8418,0.87136,0.78001,0.55926,0.55966,0.83744,0.000802,0.000802,0.000802
62,6524.86,0.56577,0.33574,0.87641,0.86099,0.83624,0.8984,0.7834,0.59266,0.59274,0.84101,0.0007987,0.0007987,0.0007987
63,6635.99,0.56478,0.3329,0.88005,0.84514,0.84524,0.90061,0.80675,0.52667,0.56338,0.83178,0.0007954,0.0007954,0.0007954
64,6741.33,0.56307,0.32881,0.87661,0.84543,0.85856,0.90899,0.79624,0.58187,0.54206,0.84078,0.0007921,0.0007921,0.0007921
65,6843.08,0.56281,0.3364,0.8755,0.82049,0.87576,0.90094,0.8064,0.54793,0.54791,0.83246,0.0007888,0.0007888,0.0007888
66,6946.87,0.5455,0.32752,0.86952,0.84322,0.844,0.90395,0.79938,0.61058,0.61237,0.84291,0.0007855,0.0007855,0.0007855
67,7049.77,0.55177,0.3262,0.87137,0.80507,0.81789,0.88349,0.79072,0.56288,0.63704,0.84294,0.0007822,0.0007822,0.0007822
68,7153.18,0.55303,0.3289,0.87457,0.84017,0.8368,0.88413,0.7913,0.55443,0.56811,0.83726,0.0007789,0.0007789,0.0007789
69,7256.16,0.54653,0.3176,0.87407,0.83997,0.84213,0.89221,0.79394,0.55394,0.56362,0.84307,0.0007756,0.0007756,0.0007756
70,7359.86,0.53904,0.31798,0.86945,0.79089,0.9235,0.87538,0.77424,0.55439,0.5479,0.83357,0.0007723,0.0007723,0.0007723
71,7461.84,0.54308,0.31922,0.86645,0.82512,0.84153,0.85733,0.76314,0.5724,0.63583,0.83902,0.000769,0.000769,0.000769
72,7567.8,0.54034,0.32221,0.86664,0.81475,0.9145,0.88888,0.77859,0.58171,0.52121,0.83767,0.0007657,0.0007657,0.0007657
73,7670.31,0.53803,0.31722,0.87102,0.86479,0.85375,0.89466,0.78593,0.57933,0.52827,0.84029,0.0007624,0.0007624,0.0007624
74,7776.6,0.54063,0.31891,0.86993,0.84882,0.8719,0.87663,0.78597,0.52538,0.51287,0.83294,0.0007591,0.0007591,0.0007591
75,7878.95,0.52609,0.31287,0.86349,0.86697,0.8711,0.88193,0.78458,0.53779,0.50631,0.82865,0.0007558,0.0007558,0.0007558
76,7979.95,0.54069,0.31581,0.87018,0.82334,0.88803,0.89942,0.80653,0.51736,0.51025,0.82704,0.0007525,0.0007525,0.0007525
77,8081.61,0.53582,0.31358,0.8676,0.84097,0.87682,0.89712,0.80601,0.52707,0.50242,0.82766,0.0007492,0.0007492,0.0007492
78,8183.01,0.52058,0.30818,0.86013,0.83355,0.85732,0.85668,0.76303,0.542,0.64409,0.82855,0.0007459,0.0007459,0.0007459
79,8284.05,0.5203,0.3099,0.86022,0.80965,0.90063,0.88888,0.77554,0.61273,0.56973,0.84328,0.0007426,0.0007426,0.0007426
80,8385.58,0.51901,0.30196,0.85897,0.83595,0.89939,0.90135,0.81132,0.54011,0.5329,0.8354,0.0007393,0.0007393,0.0007393
81,8487.82,0.51945,0.3082,0.85965,0.8294,0.85882,0.88517,0.79215,0.53147,0.57141,0.8317,0.000736,0.000736,0.000736
82,8589.16,0.52001,0.30477,0.85897,0.82131,0.83003,0.90369,0.81151,0.55815,0.58155,0.83567,0.0007327,0.0007327,0.0007327
83,8690.66,0.51199,0.30325,0.86065,0.82019,0.89446,0.86988,0.76768,0.57581,0.59317,0.83947,0.0007294,0.0007294,0.0007294
84,8793.45,0.50684,0.29507,0.85303,0.83373,0.88315,0.88023,0.7814,0.54285,0.56591,0.84129,0.0007261,0.0007261,0.0007261
85,8894.48,0.509,0.3012,0.85802,0.8202,0.91276,0.90688,0.80138,0.55339,0.52462,0.83812,0.0007228,0.0007228,0.0007228
