epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.309,1.2975,3.48996,1.20754,0.5693,0.69447,0.64175,0.50128,0.85727,1.5516,0.93042,0.0670619,0.000332708,0.000332708
2,218.948,1.10953,1.53547,1.11167,0.90655,0.81398,0.9179,0.71347,0.8738,0.77686,0.92494,0.0340586,0.000662744,0.000662744
3,326.486,1.0188,0.977,1.06026,0.86416,0.85675,0.92621,0.75253,0.81914,0.62175,0.91524,0.00105202,0.000989481,0.000989481
4,439.208,0.97525,0.79567,1.03702,0.90414,0.91416,0.92048,0.77686,0.66951,0.5535,0.87908,0.00098515,0.00098515,0.00098515
5,550.256,0.92425,0.70053,1.01684,0.8714,0.91565,0.92339,0.80582,0.6073,0.55808,0.87804,0.0009802,0.0009802,0.0009802
6,661.111,0.89162,0.65182,0.99232,0.85758,0.92487,0.91878,0.77526,0.64934,0.56505,0.87064,0.00097525,0.00097525,0.00097525
7,771.939,0.86832,0.60831,0.9879,0.85135,0.88896,0.92338,0.81908,0.55185,0.51541,0.84528,0.0009703,0.0009703,0.0009703
8,882.726,0.86397,0.58942,0.98579,0.8762,0.92607,0.91251,0.74439,0.7506,0.51247,0.90373,0.00096535,0.00096535,0.00096535
9,993.569,0.85107,0.58204,0.9786,0.8849,0.88279,0.93809,0.82664,0.57085,0.47951,0.85175,0.0009604,0.0009604,0.0009604
10,1104.43,0.82256,0.55143,0.96453,0.8411,0.94807,0.94826,0.82632,0.56058,0.46307,0.83843,0.00095545,0.00095545,0.00095545
11,1215.06,0.80688,0.54575,0.96459,0.92088,0.87803,0.93111,0.82589,0.55255,0.47236,0.84927,0.0009505,0.0009505,0.0009505
12,1326,0.80391,0.53235,0.96023,0.89036,0.8975,0.91989,0.79783,0.58197,0.4844,0.8539,0.00094555,0.00094555,0.00094555
13,1437.09,0.78387,0.523,0.95621,0.87793,0.87717,0.90343,0.82207,0.50216,0.52353,0.82605,0.0009406,0.0009406,0.0009406
14,1547.97,0.7893,0.5184,0.95103,0.88444,0.88613,0.92035,0.80304,0.58934,0.50928,0.84311,0.00093565,0.00093565,0.00093565
15,1658.83,0.76807,0.50334,0.94863,0.85916,0.90119,0.89922,0.77565,0.60102,0.50707,0.83725,0.0009307,0.0009307,0.0009307
16,1769.84,0.76785,0.48905,0.94424,0.87432,0.87857,0.91786,0.77795,0.666,0.53224,0.85705,0.00092575,0.00092575,0.00092575
17,1880.56,0.75089,0.48049,0.93285,0.89836,0.87789,0.91728,0.79901,0.55011,0.46324,0.83055,0.0009208,0.0009208,0.0009208
18,1991.57,0.73986,0.47311,0.93619,0.8479,0.89347,0.91635,0.80482,0.54834,0.49181,0.83766,0.00091585,0.00091585,0.00091585
19,2102.66,0.73467,0.47089,0.93274,0.87562,0.90248,0.93305,0.82335,0.52483,0.4554,0.83074,0.0009109,0.0009109,0.0009109
20,2213.41,0.72655,0.46469,0.92986,0.8981,0.86507,0.91469,0.7896,0.59004,0.54549,0.8403,0.00090595,0.00090595,0.00090595
21,2324.32,0.73381,0.46667,0.93521,0.88401,0.84907,0.90743,0.79878,0.5286,0.53868,0.82995,0.000901,0.000901,0.000901
